Catalogo;Curso;NivelCurso;NomeCurso;LimiteMaximoCreditos;LimiteMinimoCreditos;LimiteMinimoCreditosEquacao;NumCreditosParaUsarEquacao;CoeficienteAplicadoCR;CRMedioTurma;TotalAlunosTrrma;DesvioPadrao
1979;4;G;Física                                                                                                                                                          ;24;0;12;30;20,00;0,4692;76;0,2211
1979;5;G;Química                                                                                                                                                         ;32;0;0;0;0,00;0,4910;76;0,1533
1979;6;G;Ciências Biológicas                                                                                                                                             ;30;0;0;0;0,00;0,6343;42;0,1979
1979;7;G;Letras                                                                                                                                                          ;23;0;0;0;0,00;0,6157;51;0,1511
1979;8;G;Engenharia Agrícola                                                                                                                                             ;99;0;0;0;0,00;0,5713;23;0,1701
1979;9;G;Engenharia Química                                                                                                                                              ;30;0;0;0;0,00;0,5763;76;0,1958
1979;10;G;Engenharia Mecânica                                                                                                                                             ;27;0;0;0;0,00;0,5930;80;0,1559
1979;11;G;Engenharia Elétrica                                                                                                                                             ;31;0;16;30;30,00;0,5790;87;0,2112
1979;12;G;Engenharia Civil                                                                                                                                                ;30;0;0;0;0,00;0,5557;76;0,1226
1979;13;G;Engenharia de Alimentos                                                                                                                                         ;30;0;0;0;0,00;0,5666;76;0,1741
1979;14;G;Odontologia                                                                                                                                                     ;30;0;0;0;0,00;0,7108;91;0,1768
1979;15;G;Medicina                                                                                                                                                        ;99;0;0;0;0,00;0,7025;98;0,1181
1979;16;G;Ciências Sociais                                                                                                                                                ;28;0;0;0;0,00;0,5506;63;0,2170
1979;17;G;Ciências Econômicas                                                                                                                                             ;28;0;0;0;0,00;0,5433;82;0,1832
1979;18;G;Linguística                                                                                                                                                     ;23;0;0;0;0,00;0,3407;13;0,2988
1979;19;G;História                                                                                                                                                        ;28;0;0;0;0,00;0,5090;29;0,2639
1979;20;G;Pedagogia                                                                                                                                                       ;30;0;0;0;0,00;0,6192;59;0,2139
1979;21;G;Enfermagem                                                                                                                                                      ;28;0;0;0;0,00;0,6285;34;0,2172
1979;22;G;Música                                                                                                                                                          ;27;0;0;0;0,00;0,6460;30;0,1824
1979;31;T;Curso Superior de Tecnologia Sanitária                                                                                                                          ;99;0;0;0;0,00;0,4555;29;0,2379
1979;32;T;Curso Superior de Tecnologia da Construção Civil - Edifícios                                                                                                    ;99;0;0;0;0,00;0,4679;30;0,2004
1979;33;T;Curso Superior de Tecnologia da Construção Civil - Obras de Solos                                                                                               ;99;0;0;0;0,00;0,4590;30;0,2287
1980;1;G;Matemática                                                                                                                                                      ;27;0;0;0;0,00;0,4103;69;0,2138
1980;2;G;Estatística                                                                                                                                                     ;30;0;0;0;0,00;0,4122;68;0,2368
