Catalogo;Curso;NivelCurso;Disciplina
1969;2;G;MA301
1969;2;G;MA325
1969;2;G;MC111
1969;2;G;ME101
1969;2;G;ME121
1969;2;G;ME303
1969;2;G;ME531
1969;2;G;ME622
1969;2;G;ME631
1969;2;G;ME641
1969;2;G;ME651
1969;2;G;ME661
1969;2;G;ME711
1969;2;G;ME721
1969;2;G;ME741
1969;2;G;ME771
1969;2;G;ME772
1969;2;G;ME871
1969;2;G;MS211
1969;2;G;PB701
1969;2;G;PB801
1969;3;G;F 101
1969;3;G;F 102
1969;3;G;F 201
1969;3;G;F 202
1969;3;G;M 513
1969;3;G;M 631
1969;3;G;M 816
1969;3;G;MA101
1969;3;G;MA141
1969;3;G;MA201
1969;3;G;MA301
1969;3;G;MA325
1969;3;G;MA401
1969;3;G;MA501
1969;3;G;MC111
1969;3;G;MC312
1969;3;G;MC417
1969;3;G;MC512
1969;3;G;MC517
1969;3;G;MC612
1969;3;G;MC617
1969;3;G;MC717
1969;3;G;MC812
1969;3;G;MC817
1969;3;G;ME203
1969;3;G;ME491
1969;3;G;MS211
1969;3;G;MS415
1969;3;G;MS511
1969;3;G;MS515
1969;3;G;MS611
1969;3;G;MS613
1969;3;G;PB701
1969;3;G;PB801
1969;4;G;F 101
1969;4;G;F 102
1969;4;G;F 201
1969;4;G;F 202
1969;4;G;F 301
1969;4;G;F 302
1969;4;G;F 311
1969;4;G;F 401
1969;4;G;F 402
1969;4;G;F 411
1969;4;G;F 502
1969;4;G;F 531
1969;4;G;F 540
1969;4;G;F 552
1969;4;G;F 631
1969;4;G;F 662
1969;4;G;F 809
1969;4;G;MA101
1969;4;G;MA141
1969;4;G;MA201
1969;4;G;MA221
1969;4;G;MA301
1969;4;G;MA325
1969;4;G;MA401
1969;4;G;MA501
1969;4;G;MA601
1969;4;G;MC111
1969;4;G;MS211
1969;4;G;PB701
1969;4;G;PB801
1969;4;G;Q 101
1969;4;G;Q 102
1969;4;G;Q 201
1969;4;G;Q 202
1969;5;G;BB813
1969;5;G;F 101
1969;5;G;F 102
1969;5;G;F 201
1969;5;G;F 202
1969;5;G;F 301
1969;5;G;F 302
1969;5;G;F 401
1969;5;G;F 402
1969;5;G;H 201
1969;5;G;HL112
1969;5;G;HL212
1969;5;G;MA101
1969;5;G;MA141
1969;5;G;MA201
1969;5;G;MA302
1969;5;G;MC111
1969;5;G;PB701
1969;5;G;PB801
1969;5;G;Q 101
1969;5;G;Q 102
1969;5;G;Q 201
1969;5;G;Q 202
1969;5;G;Q 311
1969;5;G;Q 312
1969;5;G;Q 321
1969;5;G;Q 331
1969;5;G;Q 411
1969;5;G;Q 412
1969;5;G;Q 421
1969;5;G;Q 431
